0	323.85
1	323.882
2	323.928
3	323.979
4	324.031
5	324.084
6	324.136
7	324.189
8	324.242
9	324.297
10	324.354
11	324.413
12	324.475
13	324.542
14	324.616
15	324.697
16	324.791
17	324.901
18	325.029
19	325.171
20	325.317
21	325.455
22	325.582
23	325.705
24	325.841
25	326.019
26	326.299
27	326.817
28	327.867
29	328.731
30	329.02
31	328.869
32	328.114
33	328.03
34	328.479
35	329.673
36	332.319
37	338.111
38	341.728
39	343.268
40	343.745
41	343.499
42	342.433
43	339.943
44	334.508
45	329.776
46	327.507
47	326.358
48	325.732
49	325.357
50	325.109
51	324.93
52	324.791
53	324.677
54	324.58
55	324.494
56	324.415
57	324.343
58	324.275
59	324.21
60	324.148
61	324.09
62	324.039
63	324.003
64	323.844
65	323.878
66	323.925
67	323.977
68	324.031
69	324.085
70	324.139
71	324.194
72	324.249
73	324.306
74	324.365
75	324.426
76	324.491
77	324.562
78	324.639
79	324.727
80	324.83
81	324.957
82	325.119
83	325.322
84	325.534
85	325.71
86	325.856
87	325.988
88	326.125
89	326.299
90	326.564
91	327.047
92	328.037
93	328.851
94	329.125
95	328.983
96	328.247
97	328.17
98	328.599
99	329.719
100	332.197
101	337.693
102	341.091
103	342.519
104	342.95
105	342.703
106	341.684
107	339.321
108	334.129
109	329.616
110	327.459
111	326.359
112	325.751
113	325.382
114	325.135
115	324.954
116	324.813
117	324.697
118	324.596
119	324.508
120	324.427
121	324.353
122	324.283
123	324.216
124	324.152
125	324.092
126	324.04
127	324.003
128	323.839
129	323.873
130	323.921
131	323.975
132	324.031
133	324.087
134	324.143
135	324.201
136	324.259
137	324.318
138	324.38
139	324.445
140	324.514
141	324.59
142	324.673
143	324.771
144	324.891
145	325.051
146	325.286
147	325.661
148	326.077
149	326.338
150	326.52
151	326.666
152	326.806
153	326.967
154	327.198
155	327.597
156	328.384
157	329.041
158	329.281
159	329.174
160	328.501
161	328.459
162	328.855
163	329.821
164	331.892
165	336.402
166	339.201
167	340.377
168	340.714
169	340.465
170	339.546
171	337.484
172	333.079
173	329.229
174	327.332
175	326.334
176	325.765
177	325.409
178	325.166
179	324.985
180	324.841
181	324.722
182	324.618
183	324.527
184	324.443
185	324.366
186	324.293
187	324.223
188	324.157
189	324.095
190	324.041
191	324.004
192	323.834
193	323.868
194	323.918
195	323.973
196	324.031
197	324.089
198	324.148
199	324.208
200	324.269
201	324.332
202	324.397
203	324.466
204	324.54
205	324.621
206	324.712
207	324.821
208	324.961
209	325.16
210	325.488
211	326.107
212	326.817
213	327.186
214	327.41
215	327.573
216	327.712
217	327.856
218	328.038
219	328.313
220	328.788
221	329.211
222	329.432
223	329.441
224	328.968
225	329.044
